License Issue Date	License Number	Animal's Name	Species	Primary Breed	Secondary Breed	ZIP Code
July 17 2020	435965	Lucy	Dog	Terrier, Cairn		98112
July 17 2020	S115834	Zoe	Dog	Retriever, Labrador	Poodle, Standard	98112
July 17 2020	S118229	Luna	Dog	Bulldog, American	Dalmatian	98125
July 17 2020	8019864	Opal	Dog	Catahoula Leopard dog	Mix	98136
July 17 2020	443666	Charlie	Dog	Poodle, Miniature		98112
July 17 2020	443266	Hera	Dog	Terrier, Staffordshire Bull		98115
July 17 2020	8019866	Phoebe	Dog	Poodle, Standard	Retriever, Labrador	98136
July 17 2020	8019867	Mahina	Dog	Mixed Breed, Large (over 44 lbs fully grown)	Mix	98115
July 17 2020	8019870	Frankie	Dog	Mixed Breed, Medium (up to 44 lbs fully grown)	Mix	98126
July 17 2020	8019871	Rosie	Dog	Chihuahua, Short Coat	Dachshund, Standard Smooth Haired	98126
July 18 2020	8019877	Sadie	Dog	Retriever		98136
July 18 2020	8019878	Dolores	Dog	Coonhound, Bluetick		98106
July 18 2020	8019879	Rookie	Dog	Terrier, Yorkshire	Mix	98119
July 18 2020	8019881	Roxie	Dog	Poodle, Miniature		98126
July 18 2020	8019882	Maggie	Dog	Poodle, Miniature		98126
July 18 2020	8019888	Ruby	Dog	Mix	Mix	98117
July 18 2020	8019893	Cookie	Dog	Chihuahua, Short Coat		98118
July 18 2020	S146236	Nala	Dog	Beagle	Boxer	98133
July 18 2020	8019896	Lily	Dog	Chihuahua, Short Coat	Terrier	98133
July 18 2020	8019898	Zoey	Dog	Italian Greyhound	Mix	98121
July 18 2020	8019899	Maggie	Dog	Cur, Black-Mouth	Terrier, Staffordshire Bull	98118
July 18 2020	8019900	Mango	Dog	Poodle, Toy	Retriever, Labrador	98105
July 18 2020	8019903	Hazel	Dog	Poodle, Standard		98144
July 18 2020	S146603	Lucy	Dog	Retriever, Golden		98103
July 19 2020	443089	Molly	Dog	Retriever, Labrador		98125
July 19 2020	731779	Kerri	Dog	Doberman Pinscher		98106
July 19 2020	359587	Chloe	Dog	Spaniel, Cavalier King Charles		98119
July 19 2020	S118159	Lucy	Dog	Terrier	Mix	98136
July 19 2020	442185	Pepper	Dog	Pointer	Mix	98118
July 19 2020	S149459	Sophie	Dog	Retriever, Golden	Mix	98126
July 19 2020	8019912	Ada	Dog	Mixed Breed, Large (over 44 lbs fully grown)	Mix	98122
July 19 2020	8019913	Goldy	Dog	Brittany		98105
July 19 2020	8017541	Charlie	Dog	Retriever, Labrador	Poodle, Standard	98103
July 19 2020	S145687	Maggie	Dog	Retriever, Labrador		98106
July 19 2020	S147567	Greta	Dog	German Shepherd		98118
July 19 2020	8019926	Ladd Hill's Hazel	Dog	Poodle, Miniature	Retriever, Labrador	98109
July 19 2020	8019927	Gretchen	Dog	Beagle		98105
July 19 2020	8019928	Gracie	Dog	Border Collie	Beagle	98105
July 20 2020	8019932	Hachi	Dog	Mix		98105
July 20 2020	355995	Tug	Dog	Boxer	Collie, Rough	98199
July 20 2020	443781	Lili	Dog	Poodle, Toy		98121
July 20 2020	8019944	Chewy	Dog	Beagle		98103
July 20 2020	S147449	Sandy	Dog	Retriever	Poodle, Standard	98105
July 20 2020	8019953	JJ	Dog	Pug	Terrier	98107
July 20 2020	S117321	Marzipan	Dog	Chihuahua, Short Coat	Terrier, Parson Russell	98125
July 20 2020	S145517	Adeline	Dog	Spaniel, American Cocker	Poodle, Toy	98115
July 20 2020	S145330	Ariel	Dog	Spaniel, English Toy		98121
July 20 2020	S154814	Lady	Dog	Border Collie	Spaniel	98122
July 20 2020	S144688	Marley	Dog	Terrier, Rat	Catahoula Leopard dog	98106
July 20 2020	8019970	Mele	Dog	Mix	Mix	98105
July 20 2020	S117162	Penny	Dog	Terrier, American Staffordshire		98126
July 20 2020	S147047	Rainie	Dog	Retriever, Labrador	Mix	98103
July 20 2020	S116664	Lily	Dog	Siberian Husky	German Shepherd	98136
July 20 2020	S116665	Zoie	Dog	Retriever, Labrador	Border Collie	98136
July 20 2020	8019979	Gilda	Dog	Mixed Breed, Medium (up to 44 lbs fully grown)	Mix	98125
July 20 2020	S137602	Summer	Dog	German Shepherd	Mix	98118
July 20 2020	S109794	Josephine	Dog	Terrier, Soft Coated Wheaten		98112
July 21 2020	357663	Mysti	Dog	Border Collie	Mix	98103
July 21 2020	728426	Zaanti	Dog	Retriever, Labrador	Border Collie	98102
July 21 2020	8019984	Addison	Dog	Beagle	Terrier, Jack Russell	98122
July 21 2020	8019987	Giselle Gigi Carter	Dog	Beagle	Australian Cattle Dog	98122
July 21 2020	8019988	Leia	Dog	Weimaraner		98118
July 21 2020	S115972	Alice	Dog	Terrier, Boston	Mix	98106
July 21 2020	355308	Daisy	Dog	Spaniel, American Cocker		98103
July 21 2020	8019989	Marge	Dog	Mix	Mix	98103
July 21 2020	8019994	Gussie	Dog	Saint Bernard	Poodle, Standard	98117
July 21 2020	S117013	Sparkles Ruby	Dog	English Mastiff		98126
July 21 2020	8019999	Scout	Dog	Terrier	Retriever, Labrador	98122
July 21 2020	S144442	Merrie	Dog	Basset Hound		98199
July 21 2020	S144980	Nuczka	Dog	Welsh Corgi, Cardigan	Mix	98117
July 21 2020	439600	Dazzle	Dog	Retriever, Golden		98112
July 21 2020	441230	Jasmine	Dog	Setter, Irish		98177
July 21 2020	S145904	Lexi	Dog	Shih Tzu	Mix	98116
July 21 2020	441008	Dusti	Dog	Dachshund, Standard Smooth Haired		98136
July 21 2020	8020020	Charlie	Dog	Bernese Mountain Dog		98144
July 21 2020	8020026	"Isabella ""Izzy"""	Dog	Belgian Malinois	Mix	98115
July 21 2020	8020029	Dia	Dog	Mixed Breed, Large (over 44 lbs fully grown)	Mix	98115
July 21 2020	S144776	Olive	Dog	Spaniel, Cavalier King Charles	Spaniel, American Cocker	98103
July 21 2020	S145359	Wrigley	Dog	Retriever, Labrador	Poodle, Standard	98118
July 22 2020	8020032	Luna	Dog	Retriever, Labrador		98103
July 22 2020	S145188	Sheila	Dog	Australian Cattle Dog	Hound	98107
July 22 2020	443412	Abby	Dog	Schnauzer, Miniature		98177
July 22 2020	S110477	Margo	Dog	Retriever, Golden	Poodle, Miniature	98116
July 22 2020	440015	Zoe	Dog	Havanese		98115
July 22 2020	8020041	Pippa	Dog	Australian Shepherd, Miniature		98107
July 22 2020	S147054	Marseille	Dog	Retriever, Labrador	Mix	98118
July 22 2020	442147	Belle	Dog	Beagle		98112
July 22 2020	S146223	Annie	Dog	Border Collie	Poodle, Standard	98119
July 22 2020	8020050	Penelope	Dog	Chihuahua, Short Coat	Mix	98112
July 22 2020	354414	Sophie	Dog	Terrier, Soft Coated Wheaten	Mix	98112
July 22 2020	S154786	Lotsa	Dog	German Shepherd		98125
July 22 2020	340281	Golda	Dog	Terrier	Poodle, Toy	98118
July 22 2020	S145823	Teagan	Dog	Retriever, Labrador	Poodle, Standard	98112
July 22 2020	S118093	Teeka	Dog	Norwegian Elkhound		98146
July 22 2020	S117787	Zoe	Dog	Terrier, American Pit Bull	Mix	98103
July 22 2020	8020073	Mary Jane	Dog	English Mastiff		98108
July 22 2020	136219	Gerta	Dog	Retriever, Labrador	Mix	98118
July 23 2020	438801	Leilani	Dog	Mixed Breed, Small (under 24 lbs fully grown)		98125
July 23 2020	8020079	Patti	Dog	Mixed Breed, Medium (up to 44 lbs fully grown)	Mixed Breed, Medium (up to 44 lbs fully grown)	98126
July 23 2020	S144750	Penelope	Dog	Border Collie	Australian Cattle Dog	98116
July 23 2020	S144616	Gizmo	Dog	Shih Tzu	Bichon Frise	98116
July 23 2020	440259	MayBelle	Dog	Bulldog, French		98118
July 23 2020	S154791	Peppermint Patty	Dog	Retriever, Labrador	Mix	98119
July 23 2020	360327	Zsa Zsa	Dog	Terrier, Yorkshire		98177
July 23 2020	S154793	Rozzee	Dog	Pug		98116
July 23 2020	8020095	Abby	Dog	Chihuahua, Short Coat	Pug	98116
July 23 2020	S123255	Mugi	Dog	Welsh Corgi, Pembroke		98103
July 23 2020	443153	Cassie	Dog	German Shepherd		98117
July 24 2020	8020103	Kaimana	Dog	Bulldog, French		98125
July 24 2020	S145722	Soffie	Dog	Terrier, Cairn	Poodle, Miniature	98133
July 24 2020	443297	Zennor	Dog	Pointer, German Wirehaired	Retriever, Labrador	98199
July 24 2020	8020112	Daisy	Dog	German Shepherd	Mix	98115
July 24 2020	8020116	Pepper	Dog	Boxer	Boxer	98116
July 24 2020	8020117	PIPPA	Dog	Retriever, Golden	Terrier, Airedale	98136
July 24 2020	356944	Patch	Dog	Shetland Sheepdog		98103
July 24 2020	443686	Jill	Dog	Terrier, Jack Russell		98177
July 24 2020	439774	Malia	Dog	Spaniel, American Cocker		98133
July 24 2020	439773	Sasha	Dog	Spaniel, American Cocker		98133
July 24 2020	8020122	Pinky-Pooh	Dog	Retriever, Labrador	Siberian Husky	98144
July 24 2020	445182	Ginger	Dog	Spaniel, Tibetan		98117
July 24 2020	8020126	Bella	Dog	Havanese	Terrier, Yorkshire	98136
July 25 2020	S145685	Cookie	Dog	Terrier, Boston		98106
July 25 2020	441463	Kaimana	Dog	Retriever, Labrador	Poodle, Miniature	98115
July 25 2020	438361	Ginger	Dog	Retriever, Labrador	Mix	98136
July 25 2020	S147274	Lina	Dog	Hound		98109
July 25 2020	S147744	Nessie	Dog	Spaniel, American Cocker	Poodle, Miniature	98199
July 25 2020	S145451	Zaiya	Dog	Border Collie	Mix	98117
July 25 2020	8020144	Roxy	Dog	Siberian Husky	Australian Cattle Dog	98116
July 25 2020	8020147	Brooklyn	Dog	Olde English Bulldogge		98101
July 25 2020	8020155	Zooey	Dog	Boxer	Mix	98116
July 25 2020	S118004	Roxy	Dog	Australian Shepherd, Miniature	Mix	98116
July 25 2020	440651	Jemma	Dog	Maltese	Poodle, Miniature	98125
July 26 2020	8020162	Althea	Dog	Maltese	Mix	98107
July 26 2020	S145660	Maggie	Dog	Beagle		98118
July 26 2020	441932	Gracie	Dog	Shih Tzu		98102
July 26 2020	440172	Lucy	Dog	Siberian Husky		98115
July 26 2020	358759	Penny	Dog	Australian Shepherd	Spaniel	98125
July 26 2020	359065	Lucy	Dog	Poodle, Toy		98101
July 26 2020	8020165	Lily	Dog	Retriever, Labrador		98125
July 26 2020	8020166	Kingsley	Dog	German Shepherd		98106
July 26 2020	S117911	Laila Tov	Dog	Mix		98118
July 26 2020	8020167	Harper	Dog	Great Dane		98112
July 26 2020	8020168	Amelia	Dog	Retriever, Golden	Retriever, Labrador	98117
July 26 2020	S145716	Matilda	Dog	Basset Hound	Mix	98133
July 26 2020	S145773	Koko	Dog	Retriever, Chesapeake Bay		98115
July 27 2020	8020182	Linda	Dog	Mixed Breed, Medium (up to 44 lbs fully grown)	Mix	98103
July 27 2020	8020184	Dottie	Dog	Griffon, Wirehaired Pointing	Setter, Gordon	98117
July 27 2020	S145372	Ginger	Dog	Carolina Dog		98112
July 27 2020	8020185	Juniper Luna	Dog	Terrier, American Staffordshire	Brittany, French	98119
July 27 2020	8020187	Arwen	Dog	Australian Shepherd	Mix	98109
July 27 2020	8020188	Olive	Dog	Australian Cattle Dog	Terrier, Border	98133
July 27 2020	8020190	Stella	Dog	German Shepherd	Mix	98116
July 27 2020	S147196	Spacey	Dog	Greyhound		98106
July 27 2020	S117062	Marrakech	Dog	Poodle, Miniature		98102
July 27 2020	357105	Lola	Dog	Bulldog		98103
July 27 2020	8020203	Hobart	Dog	Australian Shepherd		98102
July 27 2020	8020204	Abby	Dog	Retriever		98115
July 27 2020	S144951	Molly	Dog	Schnauzer, Miniature		98136
July 27 2020	8020207	Lexi	Dog	Terrier	Mix	98103
July 27 2020	356490	Alicia Grace	Dog	Coton de Tulear		98116
July 28 2020	8020216	Harlee	Dog	German Shepherd	Mix	98107
July 28 2020	360324	Marilyn	Dog	Pug		98103
July 28 2020	8020219	Eeva	Dog	Chihuahua, Short Coat	Australian Cattle Dog	98199
July 28 2020	S118377	Blue	Dog	Australian Shepherd	Mix	98109
July 29 2020	8020252	Santi	Dog	Retriever	Mix	98117
July 29 2020	8020258	Topaz Bleu	Dog	Terrier, Yorkshire	Poodle, Toy	98125
July 29 2020	S144719	Zeala Rose	Dog	Maltese	Poodle, Toy	98125
July 29 2020	8020260	Belladonna	Dog	Spaniel, Cavalier King Charles	Mix	98115
July 29 2020	S145591	Anini	Dog	Retriever, Golden		98106
July 29 2020	S154818	Pepper	Dog	Retriever, Labrador	Terrier, American Pit Bull	98107
July 29 2020	S144381	Hazel	Dog	Australian Shepherd		98103
July 29 2020	S145860	Juno	Dog	Terrier, American Staffordshire		98107
July 29 2020	S110112	Nugget	Dog	Coton de Tulear		98103
July 29 2020	8020270	Robyn	Dog	Greyhound		98103
July 30 2020	8020273	Penny	Dog	Poodle, Miniature	Mix	98177
July 30 2020	425698	Star	Dog	Chihuahua, Short Coat	Terrier, Yorkshire	98144
July 30 2020	8020286	Olive	Dog	Pomeranian		98103
July 30 2020	S154794	Star	Dog	Retriever, Golden		98118
July 30 2020	S118536	Frida	Dog	German Shepherd	Chihuahua, Short Coat	98133
July 30 2020	S154799	Opal Blossom Bloomer	Dog	Chihuahua, Short Coat	Mix	98116
July 30 2020	S154798	Pixie	Dog	Chihuahua, Short Coat	Mix	98116
July 30 2020	S154800	Geneva	Dog	Siberian Husky		98103
July 30 2020	8020289	Maggie May Bunis Clarke	Dog	Terrier, American Pit Bull	Mixed Breed, Large (over 44 lbs fully grown)	98109
July 30 2020	442839	Finch	Dog	Rhodesian Ridgeback		98117
July 30 2020	442080	Bailey	Dog	Terrier		98118
July 31 2020	S110277	Chloe	Dog	Bulldog, French		98117
July 31 2020	S116543	Lucy	Dog	Griffon, Brussels	Maltese	98125
July 31 2020	S145874	Haggis Blueberry Woodard	Dog	Terrier, Scottish		98106
July 31 2020	S133418	Basil Mongo Woodard	Dog	Terrier, Russell	Terrier, Border	98106
July 31 2020	440013	Loki	Dog	Siberian Husky		98199
July 31 2020	S116322	Kayla	Dog	Shiba Inu		98122
July 31 2020	354280	Kristy	Dog	German Shepherd		98115
July 31 2020	8020314	Lucinda	Dog	Chihuahua, Short Coat	Terrier	98122
July 31 2020	445338	Tabitha	Dog	American Eskimo		98109
July 31 2020	8020317	Roxy	Dog	Miniature Pinscher	Mix	98116
July 31 2020	8020318	Blaze	Dog	Siberian Husky	Alaskan Malamute	98108
July 31 2020	425673	Joy	Dog	Italian Greyhound		98119
July 31 2020	S118224	Ruby	Dog	Terrier, Pit Bull	Pointer, German Shorthaired	98103
July 31 2020	8020322	Bernadette	Dog	Poodle, Standard		98136
August 01 2020	8020335	Millie	Dog	Retriever, Labrador		98117
August 01 2020	438485	Bella	Dog	Australian Shepherd	Mix	98117
August 01 2020	S147624	Maya	Dog	Australian Shepherd, Miniature		98121
August 01 2020	S123573	Umi	Dog	Shiba Inu		98119
August 01 2020	8001236	Leia	Dog	Miniature Pinscher		98115
August 01 2020	8020346	Brownie	Dog	Dutch Shepherd	Mix	98108
August 02 2020	8020367	Nina	Dog	Retriever, Labrador	Hound	98107
August 02 2020	8020376	Phoebe Wagner	Dog	Mix	Mix	98103
August 02 2020	8020381	Penny	Dog	German Shepherd		98107
August 03 2020	8020383	Riley	Dog	Spaniel, English Springer		98125
August 03 2020	S116604	Ruby	Dog	Poodle, Standard		98146
August 03 2020	8020405	Barbarella	Dog	Chihuahua, Short Coat	Terrier	98125
August 03 2020	8020412	Munchkin	Dog	Miniature Pinscher	Mix	98122
August 03 2020	8020413	Coco	Dog	Pug		98116
August 03 2020	S144740	Spicy	Dog	Terrier, Pit Bull		98121
August 03 2020	S117708	Toci	Dog	Peruvian Inca Orchid		98107
August 04 2020	8020428	Daisy	Dog	Shiba Inu		98275
August 04 2020	8020429	Shoni	Dog	Retriever		98103
August 04 2020	S119919	Ginger	Dog	Plott Hound	Retriever, Labrador	98109
August 04 2020	283241	BooBoo	Dog	Chihuahua, Short Coat		98125
August 04 2020	S118356	Bebe	Dog	Spaniel, American Cocker		98125
August 04 2020	S146443	Cotton	Dog	Terrier	Mix	98125
August 04 2020	355100	Betty	Dog	Retriever, Labrador	Poodle, Miniature	98115
August 04 2020	S145505	Ramona	Dog	Bichon Frise	Havanese	98103
August 04 2020	8020437	Rose	Dog	German Shepherd	Alaskan Husky	98103
August 04 2020	443164	Lady Blue	Dog	Australian Cattle Dog		98177
August 04 2020	S131737	Polly	Dog	Spaniel, American Cocker	Poodle, Miniature	98109
August 04 2020	8020453	Sashi	Dog	Terrier, Tibetan		98199
August 04 2020	8020454	Harlee	Dog	Terrier, Tibetan		98199
August 05 2020	S131569	Ellie	Dog	Retriever, Labrador	Mix	98103
August 05 2020	586399	Princess	Dog	Australian Cattle Dog	Border Collie	98117
August 05 2020	8020468	Greta Mae	Dog	Great Dane		98105
August 05 2020	441199	Chloe	Dog	Poodle, Miniature	Bichon Frise	98115
August 05 2020	S154903	River	Dog	German Shepherd	Mix	98126
August 05 2020	S154906	Mia	Dog	Chihuahua, Short Coat	Pug	98104
August 05 2020	360306	Lucy	Dog	Havanese		98109
August 05 2020	729557	Narrah	Dog	Australian Shepherd	Retriever, Labrador	98107
August 05 2020	8020473	Penny	Dog	Retriever, Golden	Retriever, Labrador	98118
August 05 2020	8020474	Cora Jo	Dog	Greyhound	Whippet	98136
August 06 2020	8020485	Pixel	Dog	Spaniel, Cavalier King Charles	Pekingese	98103
August 06 2020	S145504	Riley	Dog	Maltese	Poodle, Standard	98115
August 06 2020	S147788	Shelby	Dog	English Mastiff		98103
August 06 2020	S147789	Denali	Dog	Great Pyrenees		98103
August 06 2020	579727	Teckla	Dog	Poodle, Standard		98117
August 06 2020	8000090	Penny	Dog	Retriever, Golden		98126
August 06 2020	8020496	Mollie Lou	Dog	Border Collie	German Shepherd	98144
August 06 2020	S145381	Zelda	Dog	Retriever, Labrador		98117
August 06 2020	576292	Lailah	Dog	Retriever, Labrador		98199
August 06 2020	8020498	Jilly	Dog	Terrier, Jack Russell		98119
August 06 2020	8020499	Foxy	Dog	Terrier, Jack Russell	Chinese Crested	98119
August 06 2020	S111258	Nancy Lou	Dog	Terrier	Mix	98103
August 06 2020	583372	Rosie	Dog	Retriever, Labrador	Poodle, Standard	98117
August 06 2020	585962	Trixie	Dog	Welsh Corgi, Pembroke		98119
August 06 2020	445451	Muffin	Dog	Havanese	Poodle, Miniature	98119
August 06 2020	585927	Sammie Jo	Dog	Retriever, Labrador	Mix	98119
August 06 2020	S147785	Gracie	Dog	Poodle, Miniature	Schnauzer, Miniature	98115
August 06 2020	586229	Malka	Dog	Border Collie		98112
August 06 2020	8020504	Audrey	Dog	Border Collie	Mix	98112
August 06 2020	584513	Rosie	Dog	Shih Tzu		98112
August 06 2020	S120351	Angel	Dog	Terrier, American Pit Bull		98103
August 06 2020	8020507	Poppy	Dog	Mixed Breed, Medium (up to 44 lbs fully grown)	Mix	98125
August 07 2020	576780	Lulu	Dog	Terrier, Tibetan		98118
August 07 2020	8020516	Athena	Dog	Beagle	Mix	98115
August 07 2020	S118805	Roxy	Dog	Terrier	Mix	98103
August 07 2020	579551	LIlly	Dog	Australian Shepherd		98136
August 07 2020	8020521	Tika Nala	Dog	Chihuahua, Short Coat	Mix	98125
August 07 2020	S116164	Pearl	Dog	Retriever, Labrador	Australian Shepherd	98115
August 07 2020	583012	Marley	Dog	Vizsla, Smooth Haired	Australian Shepherd	98115
August 07 2020	S120011	Magic	Dog	Beagle	Terrier, American Pit Bull	98115
August 07 2020	S121212	Lacey	Dog	Terrier, Cairn	Maltese	98125
August 07 2020	S120437	Gracie	Dog	Chihuahua, Long Coat	Papillon	98115
August 07 2020	8020526	Sophie	Dog	Retriever, Labrador		98126
August 07 2020	8000092	Penny	Dog	Schnauzer, Miniature	Mix	98109
August 07 2020	S150994	Casey	Dog	German Shepherd		98104
August 07 2020	8020534	Frankie	Dog	Poodle, Standard	Retriever, Labrador	98105
August 07 2020	8001033	Anastasia	Dog	Pug		98115
August 07 2020	445450	Audrey	Dog	Pug		98109
August 07 2020	583484	Sophie	Dog	Belgian Tervuren		98118
August 07 2020	S149054	Charmander	Dog	Chihuahua, Long Coat	Dachshund, Miniature Smooth Haired	98178
August 07 2020	8020537	Raina	Dog	Weimaraner		98144
August 07 2020	575394	Lhotse	Dog	Australian Shepherd		98144
August 07 2020	S116991	Zelda	Dog	Terrier, Norwich	Mix	98125
August 07 2020	826692	Zoey	Dog	Dachshund, Standard Smooth Haired		98125
August 07 2020	8020539	Mango	Dog	Beagle	Mix	98119
August 07 2020	729848	Barley	Dog	Terrier		98106
August 07 2020	S120469	Noelle	Dog	Basset Hound		98106
August 07 2020	586385	Trixie	Dog	Schnauzer, Miniature	Spaniel, American Cocker	98126
August 07 2020	8000389	Riley	Dog	Poodle, Miniature	Retriever, Labrador	98101
August 07 2020	8020543	Ana	Dog	German Shepherd		98103
August 07 2020	S135059	Callie	Dog	Australian Shepherd		98118
August 07 2020	S118885	Kota	Dog	Alaskan Malamute	Mix	98146
August 07 2020	8020551	Indigo	Dog	German Shepherd		98105
August 07 2020	S139259	Lu	Dog	Akita		98109
August 07 2020	S120639	Bethany	Dog	Lhasa Apso	Spaniel, American Cocker	98121
August 07 2020	586136	Rainier	Dog	Schnauzer, Miniature		98119
August 08 2020	585304	Finley	Dog	Retriever, Golden		98107
August 08 2020	8020561	Joy	Dog	Retriever, Golden		98103
August 08 2020	S145569	Isla	Dog	Retriever, Labrador	Mixed Breed, Medium (up to 44 lbs fully grown)	98117
August 08 2020	8020567	Noodles	Dog	Poodle, Standard	Spaniel, American Cocker	98119
August 08 2020	S120157	Poppy	Dog	Retriever, Golden		98116
August 08 2020	S145956	Maggie	Dog	Mix	Shepherd	98106
August 08 2020	8010385	Daffodil	Dog	German Shepherd		98102
August 08 2020	586374	Lettie Pickles	Dog	Terrier	Shih Tzu	98108
August 08 2020	8000169	Barkley	Dog	Mixed Breed, Large (over 44 lbs fully grown)	Mix	98107
August 08 2020	581518	Bonnie	Dog	Retriever, Labrador		98105
August 08 2020	581416	Lilly	Dog	Pug	Beagle	98108
August 08 2020	8020575	George	Dog	Mixed Breed, Small (under 24 lbs fully grown)	Mix	98107
August 08 2020	8020576	Zizi	Dog	Terrier, American Pit Bull	Mix	98118
August 08 2020	582730	Lola	Dog	Retriever, Labrador	Beagle	98105
August 08 2020	S101811	Bella	Dog	Dalmatian	Mix	98104
August 08 2020	8020580	Ophie	Dog	Bernese Mountain Dog	Poodle, Standard	98102
August 08 2020	8020582	Stormy	Dog	Terrier, American Pit Bull	Mix	98105
August 08 2020	585152	Six Thirty	Dog	Border Collie	Italian Greyhound	98102
August 08 2020	582840	Gracie	Dog	Terrier, Yorkshire		98136
August 08 2020	8020588	Bailey	Dog	Retriever, Labrador		98107
August 09 2020	S147735	Chai	Dog	Retriever, Golden	Alaskan Husky	98109
August 09 2020	S147736	Pepper	Dog	Retriever, Golden	Alaskan Husky	98109
August 09 2020	8000096	Pearl	Dog	Doberman Pinscher		98115
August 09 2020	445405	Rosie	Dog	Chihuahua, Short Coat		98146
August 09 2020	442931	Tessa	Dog	Retriever, Labrador		98126
August 09 2020	444067	Yuki	Dog	Pomeranian		98119
August 09 2020	S112377	Sucia	Dog	Retriever, Labrador		98107
August 09 2020	8000050	Summer	Dog	Australian Shepherd, Miniature		98119
August 09 2020	8003822	Scruffi	Dog	Terrier, Soft Coated Wheaten	Mix	98106
August 09 2020	S147625	Ellie	Dog	Terrier, Airedale	Pharaoh Hound	98117
August 09 2020	S117676	Bibi	Dog	Chihuahua, Short Coat	Dachshund, Miniature Smooth Haired	98108
August 09 2020	S118680	Emmy	Dog	Terrier, American Staffordshire		98116
August 09 2020	586093	Lulu	Dog	Brittany		98105
August 09 2020	27909	Raelee	Dog	Terrier, Soft Coated Wheaten		98105
August 09 2020	443129	Bella	Dog	Siberian Husky	German Shepherd	98108
August 10 2020	S147083	Tessera	Dog	Terrier, Border		98136
August 10 2020	577057	Mika	Dog	Pointer, German Shorthaired	Mix	98136
August 10 2020	8000415	Starbuck	Dog	Border Collie	Mix	98109
August 10 2020	576775	Marlow	Dog	Border Collie	Australian Shepherd	98144
August 10 2020	8020620	Lola	Dog	Terrier, American Pit Bull		98105
August 10 2020	S102224	Alki	Dog	Terrier, Miniature Bull		98116
August 10 2020	8020627	Trixie	Dog	Retriever, Labrador	Mix	98121
August 10 2020	8020629	Lucy	Dog	Retriever, Labrador	Mix	98117
August 10 2020	572325	Opal	Dog	Spaniel, American Cocker	Poodle, Miniature	98112
August 10 2020	8020630	Dolly Parton	Dog	Great Pyrenees	Mix	98107
August 10 2020	8020631	Betty WHite	Dog	Great Pyrenees		98107
August 10 2020	8020632	Lucy	Dog	Terrier, Rat	Mix	98107
August 10 2020	8020633	Josie	Dog	Terrier, Pit Bull	Australian Cattle Dog	98122
August 10 2020	S119976	Madonna	Dog	Bulldog, English	Terrier, English Staffordshire	
August 10 2020	8020634	Lupita	Dog	Australian Shepherd		98144
August 10 2020	8000485	Poppy	Dog	Spaniel, American Cocker	Poodle, Miniature	98112
August 10 2020	S120309	Maddie	Dog	Dutch Shepherd	Australian Shepherd	98109
August 10 2020	8020643	Daisy	Dog	Poodle, Miniature	Mixed Breed, Small (under 24 lbs fully grown)	98121
August 10 2020	S146844	Islay	Dog	Shiba Inu		98199
August 10 2020	S145388	Ani	Dog	Retriever, Labrador		98115
August 10 2020	S147220	Georgie	Dog	Portuguese Water Dog		98112
August 10 2020	S146105	Trudy Bell	Dog	Retriever, Labrador	German Shepherd	98126
August 10 2020	141265	Tillie	Dog	Retriever, Golden		98112
August 10 2020	581696	Maysie	Dog	Border Collie	Mix	98199
August 11 2020	729847	Gilly	Dog	Terrier, Yorkshire	Japanese Chin	98136
August 11 2020	8000140	Rika	Dog	Shepherd	Hound	98126
August 11 2020	S145064	Thizz	Dog	Poodle, Miniature	Terrier	98118
August 11 2020	8020657	MIA	Dog	Shih Tzu	Terrier, Yorkshire	98125
August 11 2020	8000183	Charlie	Dog	Mix	Mix	98112
August 11 2020	S135304	Lucy	Dog	Retriever, Golden	Poodle, Standard	98109
August 11 2020	586461	Millie	Dog	Border Collie	Shetland Sheepdog	98116
August 11 2020	580870	Mimi	Dog	Poodle, Miniature		98199
August 11 2020	583625	Sweet Pea	Dog	Havanese		98136
August 11 2020	580899	Petunia	Dog	Retriever, Labrador	Poodle, Standard	98119
August 11 2020	S132011	Daisy	Dog	Havanese		98133
August 11 2020	8020669	Ever	Dog	Mixed Breed, Large (over 44 lbs fully grown)	Mix	98102
August 11 2020	8020672	Tita Momo	Dog	Chihuahua, Short Coat		98113
August 11 2020	S119302	Siri	Dog	Shepherd	Setter, Irish	98177
August 11 2020	8000253	Luna	Dog	Havanese		98122
August 11 2020	S120475	Macy	Dog	Border Collie	Retriever, Labrador	98125
August 11 2020	8000334	Brownie	Dog	Chihuahua, Short Coat	Dachshund, Standard Smooth Haired	98116
August 11 2020	S146743	Avon	Dog	Samoyed	Mix	98122
August 11 2020	S117660	Saucy	Dog	Chihuahua, Short Coat	Mix	98109
August 11 2020	8020678	JoJo	Dog	Chihuahua, Short Coat	Mix	98122
August 11 2020	581293	Annie	Dog	Bernese Mountain Dog		98119
August 12 2020	S142199	Zuni	Dog	Lacy		98199
August 12 2020	8020683	Mazey	Dog	Vizsla, Smooth Haired	Rhodesian Ridgeback	98103
August 12 2020	S146630	Ginger	Dog	Terrier, American Pit Bull	Mix	98199
August 12 2020	S119358	Kali	Dog	Australian Cattle Dog		98115
August 12 2020	8020696	Chloe	Dog	Welsh Corgi, Pembroke		98126
August 12 2020	8020701	Maisy	Dog	Australian Shepherd		98107
August 12 2020	8020702	Willa	Dog	Boxer		98199
